JN202305170049_DeltaP,,JN202305170050_DeltaP,,JN202305170051_DeltaP,,JN202305170052_DeltaP,,JN202305170053_DeltaP,,JN202305170054_DeltaP,,JN202305170055_DeltaP,,JN202305170056_DeltaP,,JN202305170057_DeltaP,,JN202305170058_DeltaP,,JN202305170059_DeltaP,
2.6e-08,0.0037414918,2.6e-08,0.0040572556,2.6e-08,0.0039972994,2.6e-08,0.0039319457,2.6e-08,0.0041750004,2.6e-08,0.0043047946,2.6e-08,0.0043128431,2.6e-08,0.0043904912,2.6e-08,0.0042541223,2.6e-08,0.0042319139,2.6e-08,0.0039827898
2.8e-08,0.0038730332,2.8e-08,0.0042322921,2.8e-08,0.0042114495,2.8e-08,0.0041256086,2.8e-08,0.0043853298,2.8e-08,0.0044859578,2.8e-08,0.0045878878,2.8e-08,0.004577239,2.8e-08,0.0044784499,2.8e-08,0.0044215745,2.8e-08,0.0041329656
3e-08,0.0040472131,3e-08,0.0044398047,3e-08,0.0043623247,3e-08,0.004312438,3e-08,0.0044902489,3e-08,0.0046489448,3e-08,0.0047195521,3e-08,0.004731725,3e-08,0.0044637001,3e-08,0.004318255,3e-08,0.0043158405
3.2e-08,0.0042123613,3.2e-08,0.0045839376,3.2e-08,0.0045295255,3.2e-08,0.0044249361,3.2e-08,0.0045242338,3.2e-08,0.0047924998,3.2e-08,0.0048831804,3.2e-08,0.0048676268,3.2e-08,0.0046023843,3.2e-08,0.0045553572,3.2e-08,0.0044643888
3.4e-08,0.0042828326,3.4e-08,0.004707031,3.4e-08,0.0046737222,3.4e-08,0.0045044944,3.4e-08,0.0046181516,3.4e-08,0.0048307455,3.4e-08,0.005000853,3.4e-08,0.0049614995,3.4e-08,0.0046422323,3.4e-08,0.0046806475,3.4e-08,0.0045141028
3.6e-08,0.0043855789,3.6e-08,0.0048064659,3.6e-08,0.0046927105,3.6e-08,0.0045832493,3.6e-08,0.004793515,3.6e-08,0.0049529807,3.6e-08,0.0050359089,3.6e-08,0.0050553693,3.6e-08,0.0048282095,3.6e-08,0.0048381272,3.6e-08,0.0045933337
3.8e-08,0.004456568,3.8e-08,0.0049148924,3.8e-08,0.0047920216,3.8e-08,0.0046772631,3.8e-08,0.0048909523,3.8e-08,0.0050727092,3.8e-08,0.0051800567,3.8e-08,0.0052186321,3.8e-08,0.004944799,3.8e-08,0.0047788634,3.8e-08,0.0047028214
4e-08,0.0045257066,4e-08,0.0049769627,4e-08,0.004843968,4e-08,0.0048182909,4e-08,0.0049473979,4e-08,0.0052375845,4e-08,0.005250955,4e-08,0.0052861036,4e-08,0.0050510364,4e-08,0.0048770793,4e-08,0.0047777612
4.2e-08,0.0046296376,4.2e-08,0.0050499463,4.2e-08,0.0049131582,4.2e-08,0.004903879,4.2e-08,0.0049678786,4.2e-08,0.0053121652,4.2e-08,0.00532811,4.2e-08,0.0052831564,4.2e-08,0.0050436389,4.2e-08,0.0048652589,4.2e-08,0.0048062433
4.4e-08,0.0046639103,4.4e-08,0.0051341034,4.4e-08,0.0049771094,4.4e-08,0.004920349,4.4e-08,0.0050997757,4.4e-08,0.0053197048,4.4e-08,0.0054153767,4.4e-08,0.005550093,4.4e-08,0.0051366277,4.4e-08,0.0050447653,4.4e-08,0.0049071498
4.6e-08,0.0047170599,4.6e-08,0.0051352386,4.6e-08,0.0050225081,4.6e-08,0.0050059371,4.6e-08,0.0051377555,4.6e-08,0.0053836452,4.6e-08,0.0054566595,4.6e-08,0.0055491328,4.6e-08,0.0050554853,4.6e-08,0.0051683947,4.6e-08,0.0049410323
4.8e-08,0.0047317171,4.8e-08,0.0051757456,4.8e-08,0.0051623061,4.8e-08,0.0051043741,4.8e-08,0.0052611572,4.8e-08,0.0054532145,4.8e-08,0.0055455077,4.8e-08,0.0055549941,4.8e-08,0.0051897718,4.8e-08,0.0053479006,4.8e-08,0.0050236662
