JN202303200003_DeltaP,,JN202303200004_DeltaP,,JN202303200006_DeltaP,,JN202303200007_DeltaP,,JN202303200008_DeltaP,,JN202303200010_DeltaP,,JN202303200011_DeltaP,
7.8e-08,0.00031219775,7.8e-08,0.0002363485,7.8e-08,0.0006259855,7.8e-08,0.00107362,7.8e-08,0.0021067164,7.8e-08,0.006548292,7.8e-08,0.010152396
8e-08,0.00029824034,8e-08,0.00021785001,8e-08,0.00063259603,8e-08,0.0010892065,8e-08,0.0021616523,8e-08,0.0065534366,8e-08,0.010090678
8.2e-08,0.00029151127,8.2e-08,0.00023976473,8.2e-08,0.00062228361,8.2e-08,0.0010611716,8.2e-08,0.0021259957,8.2e-08,0.0064538615,8.2e-08,0.0099746641
8.4e-08,0.00030787828,8.4e-08,0.00022933992,8.4e-08,0.00061522477,8.4e-08,0.0010252886,8.4e-08,0.0021544737,8.4e-08,0.0064547434,8.4e-08,0.0099169118
8.6e-08,0.00028697142,8.6e-08,0.00023219774,8.6e-08,0.00061399082,8.6e-08,0.001030675,8.6e-08,0.002097745,8.6e-08,0.0064336522,8.6e-08,0.0098322686
8.8e-08,0.00028456186,8.8e-08,0.00020915896,8.8e-08,0.00061701715,8.8e-08,0.0010182265,8.8e-08,0.002090794,8.8e-08,0.0063621495,8.8e-08,0.0097655552
9e-08,0.00026735739,9e-08,0.00018786135,9e-08,0.00060121057,9e-08,0.0010385233,9e-08,0.0020607435,9e-08,0.0062912344,9e-08,0.009685982
9.2e-08,0.00025810869,9.2e-08,0.00019167426,9.2e-08,0.0005631047,9.2e-08,0.0010139644,9.2e-08,0.0020284518,9.2e-08,0.0062419246,9.2e-08,0.0096024415
9.4e-08,0.00027262446,9.4e-08,0.00018326248,9.4e-08,0.00057173515,9.4e-08,0.001030675,9.4e-08,0.0020365266,9.4e-08,0.0061555766,9.4e-08,0.0095088361
9.6e-08,0.00026147312,9.6e-08,0.0001764816,9.6e-08,0.00057386514,9.6e-08,0.00093759806,9.6e-08,0.0020690386,9.6e-08,0.0061145704,9.6e-08,0.0094286753
9.8e-08,0.00026887064,9.8e-08,0.00016280968,9.8e-08,0.00056209858,9.8e-08,0.00089723227,9.8e-08,0.0020340581,9.8e-08,0.0060932599,9.8e-08,0.0093322033
1e-07,0.00027161816,1e-07,0.00017317563,1e-07,0.00056725461,1e-07,0.00093501882,1e-07,0.0020042344,1e-07,0.0060743731,1e-07,0.009235804
1.02e-07,0.00026247956,1.02e-07,0.00019750006,1.02e-07,0.00058271602,1.02e-07,0.00092818448,1.02e-07,0.0020125373,1.02e-07,0.0059411405,1.02e-07,0.0092341146
1.04e-07,0.0002599599,1.04e-07,0.0002075942,1.04e-07,0.00059101585,1.04e-07,0.00093277736,1.04e-07,0.0020504275,1.04e-07,0.0059579695,1.04e-07,0.0091377161
